nearest_pharmacy_m,index_right,district_name,PNI,distance_score,pni_score,score,rank
4320.024643554556,0,Hajdów - Zadębie,200.0,0.9253994848338363,1.0,0.9477796393836853,1
3459.806048620369,0,Hajdów - Zadębie,200.0,0.7411306645658136,1.0,0.8187914651960695,2
4668.280795866506,9,Ponikwoda,20.605,1.0,0.103025,0.7309074999999999,3
2738.7484088364477,1,Szerokie,200.0,0.5866717381828127,1.0,0.7106702167279688,4
3730.4830627345686,3,Abramowice,93.49,0.7991128267257823,0.46745,0.6996139787080475,5
